PROLIFIC_PID,d_score,o_score
5df76aff2d2185502504d15c,0.213,2
608539cd54e4230bbaaf4959,0.147,4
60ecadbc339c0f0e49a9c370,0.047,0
60c939c438c389b49847c08b,0.12,5
5f27df9a9858eb0008fd7aa3,0.105,2
612ccc537fd00ae8b3e8b95f,-0.328,4
5f285902166da3151b01faf2,-0.356,5
60f5a332d13bb868d7724c52,0.158,1
6024c1edf9b0e11f13c59cbd,-0.353,5
61641b8573a9dcd29ba9d87b,-0.905,3
5f33ead9400eee2403448c32,-0.148,3
609e866bea124d8bae2e1ce8,0.611,4
5d8346167ed176001888204d,0.004,3
5d39dd63c49dae00016065c7,0.043,5
5ef698a927c8ea38d5bcc192,-0.177,1
5f0471a92ec97b6d1aec7739,-0.274,4
615e2e6bb4b4ab6fa6f6086f,1.112,4
60b3576258dd0303232cb158,-0.008,2
5f8eed755fcafb0baa531301,0.056,5
5e85fb52694b68049c112544,0.487,3
5ea718879d28c80bf38bcb7f,0.578,4
60bd04a3749e1ca47e54d3e1,0.044,3
6166e78051425fa22de68491,-0.017,5
6145dddfa6fcfd396e1f4f1a,0.196,1
5ecd600061398f0bffb5ccef,-0.532,4
605663e5147a7b66e6853a0b,-0.67,4
5dcbea3588381e87f60cb202,0.487,4
60a44015d0ff9f3d81a1a1c8,0.159,5
5f11ccbc1a1a2c08b4a99efb,-0.201,5
612fe64ec0e4e3b001e553ef,-0.113,3
6082f09379b513197ffeb54e,-1.02,4
6134fe6f036b9de4fb216cb2,-1.039,4
612820047346933da8342f74,-0.833,5
5f20247996215b06459cdfff,0.423,5
5c7c3909042bf900012ab4d1,-0.099,5
60aabff11bad269f664ccbc7,-0.058,3
613d091096ca434d703f77c5,-0.278,5
605c984fb45a5c4f390a8c6b,0.042,5
5d70ec2138ac7e00012f817b,0.139,4
6076dfb3ec881562b02b03a7,-0.663,3
5c39af407aa30a0001ffac91,0.116,3
60fd945c307626b8b4d4e4dc,0.314,0
5ef36b13c358120b8508ab5d,0.299,2
5ebc3cc7adb5e706b8021deb,0.253,4
5f8f1d38e25d2b1306f8e554,-0.174,2
61071bc6d5e086fc27f57884,0.347,4
