genre,maingenre
ambient,ambient
ambient dub techno,ambient
dark ambient,ambient
ambient industrial,ambient
dungeon synth,ambient
new isolationism,ambient
drone,ambient
illbient,ambient
new age,ambient
space ambient,ambient
lowercase,ambient
bass music,bass music
footwork,bass music
future bass,bass music
kawaii future bass,bass music
wave,bass music
breakbeat,breakbeat
jersey club,breakbeat
big beat,breakbeat
hardcore breaks,breakbeat
broken beat,breakbeat
nu skool breaks,breakbeat
progressive breaks,breakbeat
chill out,chill out
downtempo,chill out
psydub,chill out
trip hop,chill out
disco,disco
hi-nrg,disco
eurobeat,disco
eurodance,disco
italo dance,disco
nu disco,disco
post-disco,disco
boogie,disco
city pop,disco
drum and bass,drum and bass
darkstep,drum and bass
drumfunk,drum and bass
atmospheric dnb,drum and bass
jump up,drum and bass
liquid funk,drum and bass
neurofunk,drum and bass
sambass,drum and bass
electroacoustic composition,electroacoustic
acousmatic,electroacoustic
electroacoustic improvisation,electroacoustic
musique concrete,electroacoustic
electronica,electronica
folktronica,electronica
jazztronica,electronica
livetronica,electronica
berlin school,electronica
african electronic,regional EDM
afrobeat,regional EDM
azonto,regional EDM
coupe-decale,regional EDM
kuduro,regional EDM
mahraganat,regional EDM
funk carioca,regional EDM
funk ostentacao,regional EDM
manila sound,regional EDM
jungle,jungle
ragga jungle,jungle
hardcore,hardcore
acidcore,hardcore
breakcore,hardcore
digital hardcore,hardcore
doomcore,hardcore
frenchcore,hardcore
happy hardcore,hardcore
industrial hardcore,hardcore
j-core,hardcore
makina,hardcore
speedcore,hardcore
terrorcore,hardcore
trancecore,hardcore
hardstyle,hardstyle
euphoric hardstyle,hardstyle
jumpstyle,hardstyle
rawstyle,hardstyle
hauntology,hauntology
chillwave,hauntology
synthwave,hauntology
darksynth,hauntology
sovietwave,hauntology
vaporwave,hauntology
future funk,hauntology
hardvapour,hauntology
house,house
acid house,house
afro house,house
amapiano,house
gqom,house
kwaito,house
ambient house,house
ballroom,house
bass house,house
brazilian bass,house
slap house,house
chicago house,house
deep house,house
disco house,house
diva house,house
electro house,house
complextro,house
dutch house,house
fidget house,house
melbourne bounce,house
electro swing,house
deep euro house,house
funky house,house
future house,house
garage house,house
ghettotech,house
italo house,house
jazz house,house
latin house,house
microhouse,house
moombahton,house
outsider house,house
progressive house,house
soulful house,house
tech house,house
tribal house,house
tropical house,house
hard bass,house
intelligent dance music,IDM
drill and bass,IDM
glitch,IDM
glitch hop,IDM
noise,noise
japanoise,noise
power electronics,noise
death industrial,noise
power noise,noise
plunderphonics,plunderphonics
techno,techno
acid techno,techno
ambient techno,techno
berlin minimal techno,techno
bleep techno,techno
detroit techno,techno
dub techno,techno
hard techno,techno
raggatek,techno
schranz,techno
industrial techno,techno
minimal techno,techno
trance,trance
acid trance,trance
dream trance,trance
hands up,trance
hard trance,trance
goa trance,trance
nitzhonot,trance
progressive trance,trance
psychedelic trance,trance
dark psytrance,trance
full on,trance
progressive psytrance,trance
suomisaundi,trance
tech trance,trance
uplifting trance,trance
vocal trance,trance
uk garage,garage
bassline,garage
dubstep,garage
brostep,garage
chillstep,garage
future garage,garage
grime,garage
speed garage,garage
uk funky,garage
wonky,garage
video game music,videogame 
chiptune,videogame 
bitpop,videogame 
skweee,videogame 
nintendocore,videogame 
