PROLIFIC_PID,familiarity,like,playlist
5c0fde85d86a170001faa55a,1,3,2
5c39af407aa30a0001ffac91,1,4,2
5c7c3909042bf900012ab4d1,2,4,2
5d39dd63c49dae00016065c7,3,5,1
5d8346167ed176001888204d,2,3,2
5dcbea3588381e87f60cb202,2,3,2
5df76aff2d2185502504d15c,3,2,1
5e85fb52694b68049c112544,2,3,2
5e92f26b444572122fdfe44d,3,4,1
5ea718879d28c80bf38bcb7f,2,4,1
5ebc3cc7adb5e706b8021deb,1,2,2
5ecd600061398f0bffb5ccef,2,2,2
5ef36b13c358120b8508ab5d,2,2,2
5ef698a927c8ea38d5bcc192,3,3,2
5f0471a92ec97b6d1aec7739,2,4,2
5f11ccbc1a1a2c08b4a99efb,1,4,1
5f20247996215b06459cdfff,3,4,1
5f27df9a9858eb0008fd7aa3,2,2,2
5f285902166da3151b01faf2,1,4,1
5f33ead9400eee2403448c32,2,4,1
5f6132f075b3fa0ac649fd3c,3,3,2
5f8eed755fcafb0baa531301,1,4,1
5f8f1d38e25d2b1306f8e554,1,4,2
6024c1edf9b0e11f13c59cbd,1,5,1
605663e5147a7b66e6853a0b,2,5,2
605c984fb45a5c4f390a8c6b,2,4,2
6076dfb3ec881562b02b03a7,1,2,2
6082f09379b513197ffeb54e,1,4,2
608539cd54e4230bbaaf4959,1,4,1
609e866bea124d8bae2e1ce8,1,5,1
60a44015d0ff9f3d81a1a1c8,2,2,2
60aabff11bad269f664ccbc7,1,5,1
60b3576258dd0303232cb158,1,4,2
60bd04a3749e1ca47e54d3e1,2,4,1
60c939c438c389b49847c08b,1,4,2
60ecadbc339c0f0e49a9c370,2,3,2
60f5a332d13bb868d7724c52,2,2,2
60fd945c307626b8b4d4e4dc,3,4,2
61071bc6d5e086fc27f57884,2,5,1
611cf2fd04c64ae9781b55e5,1,4,2
612820047346933da8342f74,2,4,1
612ccc537fd00ae8b3e8b95f,2,5,2
612fe64ec0e4e3b001e553ef,1,4,2
6134fe6f036b9de4fb216cb2,3,3,2
613d091096ca434d703f77c5,1,2,2
6145dddfa6fcfd396e1f4f1a,1,4,2
615e2e6bb4b4ab6fa6f6086f,2,3,1
61641b8573a9dcd29ba9d87b,1,4,2
6166e78051425fa22de68491,2,2,2
616b2703143d4550968777b8,3,4,1
