participant_id,Q6,Q7,Q8,Q9,DM_SCORE,OPEN_SCORE
5f6ce3aa36f6181177e93f0f,4,2,1,4,0.61,5
5efc9df19aca1b058028bd9d,4,2,2,2,0.79,3
5e8f31ca66838a1ff52975b5,4,2,2,3,0.86,1
600096b0685b2315be3a0891,4,2,2,2,1.15,1
616b2703143d4550968777b8,4,2,3,3,1.2,5
5ebc3cc7adb5e706b8021deb,4,3,2,4,1.27,1
6014314ae378481403f01e86,3,3,3,4,1.32,4
5f89c22268e5fe0009834636,3,2,3,3,1.39,3
60ecadbc339c0f0e49a9c370,4,2,2,2,1.43,4
5b9125803e41080001a850e5,4,4,3,2,1.5,2
6167eea0a4fd7219518e8a16,3,2,1,2,1.65,4
60ff3a7e3057022617006e78,4,1,1,2,1.7,1
6009cb9a5fa0350a4a5879fd,4,2,2,3,1.79,3
5e4841b1d135942e602a1bd8,5,2,4,3,1.91,5
5da839f66f11e500123e30c7,5,3,1,2,2.01,3
61720e04849f1568c2f3e999,4,2,3,2,2.02,5
60fd2a640ce1fa66aa2da3f8,5,3,3,3,2.16,2
60fd945c307626b8b4d4e4dc,4,1,3,2,2.2,0
5fea245fcb429d1d08f7d1e0,5,4,4,2,2.23,3
60c343fb9be50f660ec54b6e,4,2,3,2,2.25,3
5e85fb52694b68049c112544,4,3,3,2,2.27,4
6113a568434313758954bb53,5,3,2,3,2.34,4
6104789653935cb6d9e6c8fb,4,2,2,4,2.57,1
612820047346933da8342f74,4,3,3,2,2.58,5
60fdfea91c30771b19d63e00,3,1,1,2,2.58,1
609ab970bcff69957427445d,5,1,1,3,2.62,1
5f0471a92ec97b6d1aec7739,2,1,3,4,2.65,4
60b553fb5705a4355358afaf,4,3,2,2,2.66,4
5fd663b8b06c1b570569dc2b,4,4,3,4,2.68,2
5c1bfabab0fcc900019d9ff4,4,1,2,2,2.7,2
5ebefa4d2bd5510ff39688c1,5,4,4,4,2.7,5
5df76aff2d2185502504d15c,4,2,3,2,2.78,2
5f20247996215b06459cdfff,3,2,2,3,2.84,5
60e467a0b2c2ef1e594bd577,4,3,4,4,2.84,4
5f11ccbc1a1a2c08b4a99efb,4,2,3,4,2.85,5
60c36ee0ad1e69aae74b8a08,4,2,2,2,2.95,1
60bfa4a37ea373b300727816,5,4,4,3,2.95,2
609fc560e33ec2495dfbc15f,4,1,1,2,2.96,1
60d1f1dda4eca7964898af1e,4,4,4,3,3,1
61712b162161b5362dd40119,4,2,3,2,3.02,3
5e12048c7605fe8839180a14,3,4,4,4,3.03,2
5e1f158a3e33582402807d9f,4,2,2,3,3.04,2
608c349d8e7f57e8f84d3a27,4,2,3,2,3.04,5
5f96ecaca0ed8c01b13dd7c4,4,4,2,2,3.07,5
5cb71fcd98a1f100011c56fb,4,2,2,3,3.08,2
60f68b0a260dc97aee69c03e,4,2,5,3,3.25,1
5fcd410d5395091ccc87449c,4,2,3,4,3.3,2
612ccc537fd00ae8b3e8b95f,4,3,4,2,3.31,4
607f255b8b9e7651da1e8858,5,3,5,3,3.33,2
60ca883c03ff81263967f06a,3,4,3,2,3.34,1
61465149835949882116b8c4,4,3,2,4,3.39,2
610168856591c36253f77248,4,2,2,2,3.41,4
5ba0cc4dbabc5b00015e42f3,4,2,3,2,3.43,1
60b3576258dd0303232cb158,3,1,1,4,3.44,3
6140f1c4ead758f1b72bbe2f,5,4,5,4,3.46,4
61641b8573a9dcd29ba9d87b,4,2,2,3,3.46,2
60f5a332d13bb868d7724c52,4,1,1,2,3.49,1
5f6132f075b3fa0ac649fd3c,4,2,1,3,3.51,5
5fdebabfb5d1fc684adaa1f9,5,4,4,2,3.53,3
5f8b031f5f71b109548721bd,4,3,2,4,3.59,2
5eabf42cdcb6170008b06667,5,4,2,2,3.59,3
5c522508fcbef20001939a03,4,2,1,2,3.62,1
602691763444df34d0917731,4,4,3,4,3.65,5
609efef2eacb048e063448cb,4,3,4,2,3.65,4
5ed6d66c4ddb96153b704550,4,3,4,2,3.7,5
5f9596b90d459d406163a767,4,2,3,2,3.7,2
6134fe6f036b9de4fb216cb2,5,4,2,2,3.74,4
60af88a18ec7e63ce70606a7,5,4,4,4,3.83,5
5ecd600061398f0bffb5ccef,4,4,4,4,3.85,5
60897f1469ae6000c3d7c537,4,4,2,2,3.85,2
61228d9531e3fd084f5d5067,4,2,2,2,3.94,2
5e9dd814910d621387801b01,4,1,3,2,3.94,2
60fca5af374ff4b335041fc3,5,4,5,2,3.99,2
608bb6544e29801f4cac1c2d,5,3,3,3,3.99,5
605c984fb45a5c4f390a8c6b,4,4,4,4,4,5
5d39dd63c49dae00016065c7,4,4,4,4,4.01,5
5b6dada03ce3ab0001fd077c,5,2,2,3,4.05,4
615da7549e575b94827b81ab,3,2,4,4,4.08,3
60bd04a3749e1ca47e54d3e1,2,1,1,2,4.09,2
5ef698a927c8ea38d5bcc192,4,2,2,2,4.12,2
5f5135b9e2b058337c95383f,5,4,5,3,4.14,3
611fce73e0a46ebc8e4b90a5,4,4,5,4,4.14,4
5a4a652366e7880001de63a1,4,4,3,2,4.14,4
605663e5147a7b66e6853a0b,4,4,4,3,4.17,1
60be2982c100aa0ce4800279,5,4,3,4,4.17,2
6145dddfa6fcfd396e1f4f1a,4,2,3,2,4.19,1
60a7bbccd9d7527d7db5e395,3,4,4,3,4.25,2
5c7c3909042bf900012ab4d1,4,4,2,2,4.25,4
6166e78051425fa22de68491,4,2,2,3,4.3,3
5e939cd2bae84a6e6e0d9b1a,5,3,2,4,4.31,3
5fb3d4024e5665000a941d9d,4,3,3,2,4.31,2
60e12640be1b69b66053d55b,5,4,3,4,4.38,1
5c45ad3793f3690001c46767,4,3,4,2,4.39,4
5c39af407aa30a0001ffac91,5,4,4,2,4.44,1
5dee6f4d3b1c9450c5d126fc,5,4,4,2,4.45,3
60c939c438c389b49847c08b,5,3,3,2,4.45,5
607986447baf44d005eeb875,4,4,2,3,4.48,5
611cf2fd04c64ae9781b55e5,4,2,2,2,4.49,3
60a44015d0ff9f3d81a1a1c8,4,3,2,3,4.5,5
5fb680f7e13f87000aa59a9a,5,3,3,4,4.55,4
6076dfb3ec881562b02b03a7,4,2,3,3,4.56,1
5fda8761cffa3b71e6d684bf,4,4,4,2,4.59,5
61141c855eb58d6a4e3d8d5b,5,3,4,2,4.59,5
5ea1c3f3e9fb240a9b243e18,4,4,5,2,4.61,4
61099ed3d23b7e38349fcc01,5,4,5,4,4.62,4
60ecb272881f8d801283984e,4,4,4,3,4.62,4
605c5e1a8f580f980677f3d9,5,2,3,3,4.75,3
5ea718879d28c80bf38bcb7f,4,3,2,2,4.83,3
60e504dc5f86f5b0e2eb6d17,4,4,4,3,4.86,3
612a804d1772460dc0856e5a,5,3,2,3,4.91,4
5d8346167ed176001888204d,4,1,1,2,4.96,1
610afb895c8cef9f6ec1ac6a,4,2,4,3,4.97,4
