,LB_username,PROLIFIC_PID,TASTE_VARIED,EM_LISTEN,EM_VARIED,LIST_TIME,A_DK_SCORE,G_DK_SCORE,AVG_DK_SCORE,OPEN_SCORE,LB_WORKING,D_SCORE,O_SCORE,EM_tracks_count
0,5ea1c3f3e9fb240a9b243e18,5ea1c3f3e9fb240a9b243e18,4,4,5,2,2.9,6.33,4.61,4,1,-0.636,5,5
1,60f1881264ff3a7f211d186a,60f1881264ff3a7f211d186a,5,4,3,2,2.6,3.48,3.04,5,1,-0.966,5,335
2,61141c855eb58d6a4e3d8d5b,61141c855eb58d6a4e3d8d5b,5,3,4,2,2.57,6.6,4.59,5,1,0.167,5,3
3,acarolinab,5c4c53b95aa8dc00011b0dce,4,2,2,2,1.12,3.65,2.39,1,1,-0.064,1,4
4,Acemorais,61123b66dae2d7c959c7ff31,4,3,4,2,4.7,3.9,4.3,2,1,-0.648,3,2
5,afonsoveiga,5f8b031f5f71b109548721bd,4,3,2,4,0.7,6.47,3.59,2,1,-0.449,2,74
6,aimonteiror,5e4841b1d135942e602a1bd8,5,2,4,3,1.68,2.15,1.91,5,1,0.091,5,3
7,Akromancer,602691763444df34d0917731,4,4,3,4,0.6,6.7,3.65,5,1,-0.211,5,261
8,Alba_hontoria_96,61712b162161b5362dd40119,4,2,3,2,1.15,4.9,3.02,3,1,-0.232,3,1
9,An_Oxygen_Consumer,5da839f66f11e500123e30c7,5,3,1,2,0.2,3.82,2.01,3,1,-0.698,3,5
10,Ana Wolfie,60b68fc2c92926cd9af2733b,5,4,4,4,1.8,7.68,4.74,3,1,0.073,2,19
12,andrespi,5be2965691deed00015acc2b,3,2,3,2,0.07,2.83,1.45,4,1,0.186,1,51
13,annoyin9,61465149835949882116b8c4,4,3,2,4,2.05,4.73,3.39,2,1,0.257,2,8
14,Apex23,5f89c22268e5fe0009834636,3,2,3,3,0.0,2.77,1.39,3,1,-0.054,3,0
15,aritahierro,615da7549e575b94827b81ab,3,2,4,4,3.9,4.25,4.08,3,1,0.343,3,126
16,axel22,5f2d14d99d93bf265393b8ac,4,3,4,3,2.6,6.08,4.34,4,1,-0.515,4,518
17,Bea_P,6152dfa0790891ef5d673501,4,2,3,2,2.55,6.38,4.46,2,1,0.118,3,0
18,benfica15951,5dee6f4d3b1c9450c5d126fc,5,4,4,2,3.28,5.63,4.45,3,1,0.011,4,3
21,bpin,608c349d8e7f57e8f84d3a27,4,2,3,2,1.28,4.8,3.04,5,1,-0.73,5,13
22,Branky,5f444f41d9255617e1ba10ff,4,3,3,2,2.25,5.1,3.68,4,1,-0.315,4,5
24,Bruno10000silva,5ed6d66c4ddb96153b704550,4,3,4,2,1.9,5.5,3.7,5,1,-0.671,5,5
26,CarolFrancis,6032b41809e86b2d25e6abf5,4,2,2,2,3.45,5.05,4.25,4,1,-0.023,4,78
27,catalinamanuela,6149abd3cead78f1eb135218,4,1,1,2,0.6,4.45,2.52,0,1,0.727,1,2
29,ChiaraLh,615c43b800752a4f3d0fd1f0,4,2,4,2,1.07,2.0,1.54,2,1,-0.356,4,0
30,Clara319,61322612510b85268a0c4b63,5,3,4,2,0.65,4.38,2.51,2,1,0.12,2,6
31,ddios,60d9a7c0aebfc51577e97903,4,4,3,2,3.18,6.53,4.85,1,1,-0.288,1,0
32,deniseterzi,5fb3d4024e5665000a941d9d,4,3,3,2,1.48,7.15,4.31,2,1,0.35,2,1
33,dfilipa98,6113a568434313758954bb53,5,3,2,3,1.07,3.6,2.34,4,1,-0.227,4,59
34,Dinossaralho,5fdebabfb5d1fc684adaa1f9,5,4,4,2,1.5,5.55,3.53,3,1,-0.934,4,1
35,diogojf,60e467a0b2c2ef1e594bd577,4,3,4,4,0.5,5.18,2.84,4,1,-0.101,3,25
36,dv248,5e8f31ca66838a1ff52975b5,4,2,2,3,0.33,1.4,0.86,1,1,-0.518,1,9
37,Edu_Marques17,604a3c8ec261d2fa6ac242c3,5,4,4,4,1.05,6.87,3.96,5,1,-0.35,4,4
38,filippo_malocco,6107f8e71da90474ed188cb3,2,2,3,3,2.12,6.65,4.39,4,0,-0.18,3,0
39,fraaa,615094c9a1ba0233a8c3ccc4,4,3,3,3,1.0,6.83,3.91,5,1,0.114,5,20
42,gabriverce,615db8621a77715a3f2e6b54,5,4,4,2,3.48,5.83,4.65,3,1,0.336,3,7
44,Gon1507,609a7d5287ca8fb83e0780d4,2,1,1,4,1.55,4.62,3.09,4,1,-0.649,4,54
45,Gonçalo,609efef2eacb048e063448cb,4,3,4,2,0.7,6.6,3.65,4,1,-0.569,1,22
46,HiddenTrack,5b6dada03ce3ab0001fd077c,5,2,2,3,2.65,5.45,4.05,4,1,0.396,4,2
47,Holt92,611fce73e0a46ebc8e4b90a5,4,4,5,4,1.48,6.8,4.14,4,1,-0.238,4,947
49,ilvapleuvoir,610afb895c8cef9f6ec1ac6a,4,2,4,3,3.92,6.03,4.97,4,1,-0.199,4,0
53,itsmatild,60b553fb5705a4355358afaf,4,3,2,2,1.0,4.33,2.66,4,1,0.149,4,17
55,joaomdpaz,6167eea0a4fd7219518e8a16,3,2,1,2,1.65,1.65,1.65,4,1,0.284,4,21
58,jshadyc,60af88a18ec7e63ce70606a7,5,4,4,4,1.85,5.8,3.83,5,1,0.555,5,70
59,Kyor,5fda8761cffa3b71e6d684bf,4,4,4,2,2.75,6.43,4.59,5,1,-0.256,5,57
64,Manhento,58f50400f4ce600001016db5,3,2,2,2,2.88,5.3,4.09,2,1,-0.061,2,67
67,mariiii,609ab970bcff69957427445d,5,1,1,3,0.7,4.55,2.62,1,0,-0.202,0,0
68,martagmp,5e68d8b2a042a7000d529490,4,4,3,3,2.38,2.35,2.36,2,1,0.125,2,194
69,matiri95,608bb6544e29801f4cac1c2d,5,3,3,3,3.08,4.9,3.99,5,1,-0.484,5,4
70,MayaIaia4,5de440d3400de40285c01263,4,2,2,2,1.12,5.12,3.12,4,1,0.451,2,19
72,mrndcn,5b0a93f030d562000155259e,4,1,3,2,1.05,1.4,1.22,5,1,-0.742,5,3
74,olline,5ebefa4d2bd5510ff39688c1,5,4,4,4,2.08,3.33,2.7,5,1,0.092,5,62
82,Ramiroowww,60496d3990d324547105f959,5,3,2,4,0.4,5.4,2.9,4,1,0.768,4,121
83,RedPeppermint,5e9dd814910d621387801b01,4,1,3,2,1.95,5.92,3.94,2,1,1.235,3,5
84,RicardoCoelho8,6014314ae378481403f01e86,3,3,3,4,0.65,2.0,1.32,4,1,-0.268,3,86
88,rqlmarim,603e4fff74df2edecbeb21a3,5,3,3,3,4.2,5.35,4.78,4,1,0.184,4,6
100,TheMusicWeirdo,61720e04849f1568c2f3e999,4,2,3,2,0.47,3.58,2.02,5,1,-0.221,5,0
